Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Elke Weber - Fried Weber;16;-0,15;0,08;-0,24;0,07;8;  -0,55;8;0,08;7;0,00;1;;3a
Lutz Narajek - Martin Müller;80;-0,16;-0,09;-0,07;0,18;48;  -0,45;32;0,34;26;0,00;22;;3c
Antje Berghaus - Petra Eleftherakis;48;-0,18;-0,50;0,32;-0,27;20;  0,74;28;-1,35;9;0,62;11;;3c
Tanja Lutz-Löppenberg - Ying Cheng;64;-0,22;0,20;-0,42;0,39;30;  -1,13;34;-0,68;12;1,10;18;;3c
Andrea Reim - Nedju Buchlev;64;-0,23;-0,11;-0,12;-0,39;25;  0,05;39;0,72;15;-2,06;10;;2
Andrea Reim - Christian Fröhner;16;-0,24;-0,54;0,30;0,08;3;  0,35;13;-;0;0,08;3;;2
Fikret Dogan - Dietmar Korb;16;-0,28;0,73;-1,01;0,18;8;  -2,20;8;0,22;4;0,14;4;;3a
Helmut Häusler - Michael Gromöller;48;-0,30;-0,74;0,43;0,50;25;  0,36;23;0,06;13;0,98;12;;1
Frank Düllmann - Tanja Lutz-Löppenberg;64;-0,34;-0,14;-0,20;-0,61;27;  0,09;37;-0,70;10;-0,55;17;;3c
Kerstin Sosnowski - Dr. Thorsten Upmann;64;-0,37;0,15;-0,52;-0,32;34;  -0,74;30;-0,86;23;0,81;11;;3a
Helga Stoermer - Antje Berghaus;16;-0,38;0,37;-0,75;-1,78;9;  0,58;7;-3,13;3;-1,10;6;;3c
Erhard Sternheimer - Dr. Regine Neuhauser-Riess;48;-0,45;-0,33;-0,12;0,61;23;  -0,80;25;1,45;11;-0,15;12;;3b
Holger Hoffmann - Christian Dörmer;64;-0,54;-0,69;0,15;-0,17;29;  0,42;34;-0,44;15;0,12;14;;2
Cumhur Kirdemir - Dietmar Korb;16;-0,58;0,91;-1,49;-1,30;8;  -1,92;7;0,77;3;-2,54;5;;3a
Berthold Engel - Dr. Sebastian Weyand;64;-0,60;-0,03;-0,58;-0,15;31;  -0,98;33;-0,34;20;0,21;11;;1
Martin Müller - Petra Eleftherakis;80;-0,67;-0,02;-0,65;-0,54;38;  -0,74;42;0,18;17;-1,13;21;;3c
Ellen Sieprath - Rosemarie Balkheimer;64;-0,68;-0,59;-0,09;-0,43;27;  0,16;36;-0,06;10;-0,64;17;;3b
Dr. Gerold Wieber - Dr. Klaus Krtschil;16;-1,05;0,37;-1,41;-2,00;11;  -0,13;5;-0,16;4;-3,04;7;;3b
Ingo Schmid - Lutz Narajek;80;-1,11;-0,72;-0,38;-0,47;32;  -0,32;48;-0,48;12;-0,46;20;;3c
Merle Schneeweis - Dr. Thorsten Upmann;64;-1,12;-0,42;-0,70;-0,94;29;  -0,50;35;-0,06;16;-2,02;13;;3a
Frank Düllmann - Ying Cheng;64;-1,32;-0,72;-0,60;-0,51;31;  -0,68;33;-0,81;19;-0,04;12;;3c
Lothar Schmidt - Rosemarie Balkheimer;32;-1,76;-0,67;-1,09;-1,50;13;  -0,90;17;-2,40;4;-1,10;9;;3b
Kerstin Sosnowski - Merle Schneeweis;32;-1,93;-1,36;-0,57;-0,51;13;  -0,64;18;0,29;3;-0,75;10;;3a

