Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;
Karl Wartlick - Ulrich Staber;48;0,53;0,04;0,49;0,60;17;  0,43;31;1,19;4;0,42;13;;3a
Nico Forchert - Dr. Silvia Klasberg-Brawanski;80;0,51;0,47;0,04;0,53;42;  -0,51;37;0,96;23;0,02;19;;3b
Anne Heim - Roland Watzdorf;32;0,50;0,24;0,25;0,84;13;  -0,15;19;0,50;6;1,13;7;;3a
Hartmut Kondoch - Josias Prinz zu Waldeck;80;0,43;0,13;0,31;0,12;35;  0,49;42;-1,00;15;0,95;20;;2
Martin Stoszek - Werner Kühn;64;0,35;-0,16;0,50;0,35;33;  0,70;30;0,26;18;0,45;15;;3b
Fikret Dogan - Cumhor Kirdemir;80;0,19;0,24;-0,05;0,26;40;  -0,36;40;1,30;20;-0,78;20;;3b
Martin Stoszek - Michael Pauly;64;0,18;-0,16;0,34;0,43;33;  0,26;30;0,68;16;0,19;17;;3b
Susanne Bohnsack - Yevgeniya Khanukova;16;0,15;0,33;-0,18;0,36;9;  -0,88;7;1,00;5;-0,43;4;;3c
Ferit Tavlan - Bernhard Kaiser;64;0,13;-0,15;0,27;-0,24;29;  0,70;35;-0,62;17;0,30;12;;3b
Gregor Sieber - Ulrike Schreckenberger;48;0,07;-0,24;0,31;1,17;23;  -0,51;24;1,25;15;1,03;8;;2
Georg Szasz - Krzysztof Dec;64;0,06;0,28;-0,22;-0,18;38;  -0,29;26;-0,71;21;0,49;17;;2
Anne Heim - Nils Bokholt;16;0,05;0,35;-0,30;0,76;9;  -1,67;7;0,11;7;3,05;2;;3a
Sebastian Weyand - Berthold Engel;32;0,04;0,06;-0,02;-0,39;19;  0,52;13;-0,96;7;-0,05;12;;2
Andrzej Konczak - Stefan Behn;47;0,03;-0,17;0,20;0,23;28;  0,15;19;0,26;14;0,21;14;;3c
Regine Bartels - Thomas Schmitt;48;0,02;0,38;-0,36;-0,32;19;  -0,39;29;-0,13;14;-0,86;5;;3b
Fikret Dogan - Mieke Plath;48;-0,03;-0,26;0,24;0,61;20;  -0,03;28;0,01;6;0,87;14;;3b
Jörg Fritsche - Martin Rehder;16;-0,03;0,10;-0,13;-0,45;10;  0,39;6;-1,59;7;2,21;3;;1
Herbert Thieme - Dr. Klaus Krtschil;64;-0,14;0,09;-0,23;-0,58;32;  0,12;31;-0,22;14;-0,85;18;;3c
Heide Uhrig - Jan Turski;32;-0,20;-0,32;0,12;-0,07;14;  0,27;18;-0,21;7;0,07;7;;3c
Thomas Schmitt - Dr. Helmut Horacek;64;-0,26;-0,25;-0,01;-0,67;29;  0,56;34;-1,03;10;-0,49;19;;3b
Jürgen Flory - Sabine Flory;64;-0,28;0,08;-0,35;0,10;28;  -0,71;36;-1,33;12;1,17;16;;3b
Horst Hübner - Dr. Peer Köster;80;-0,32;0,54;-0,86;-0,97;27;  -0,86;50;-1,48;17;-0,11;10;;3b
